review,sentiment
 Location for London s West End is superb Staff in general were polite and helpful ,POSITIVE
 Cocktails were quite expensive there wasn t a lot of option on the late night menu the scrambled egg at breakfast was awful,NEGATIVE
 I advise that needs to improve room service food ,NEGATIVE
 Reception staff were poor on handling booking room wasn t ready when got there wasn t pre warned about 30 deposit prior drinks receipt was opt in tip however wasn t previously told this they just assumed Bed very uncomfortable executive room was poor value for money small had balcony but apparently wasn t allowed to open door Bathroom very basic Tried to charge us for minibar when didn t even use it tried to take money from credit card without checking first Executive lounge continental breakfast wasn t very nice hash browns were dry and barely warm Plug near bed was faulty No window to open for fresh air Extremely disappointed Would not stay here again even if we was paid to and very unhappy about spending close to 200 for a room when I have stayed in 30 rooms that are better ,NEGATIVE
 The location is excellent 5 10 minutes walk to Waterloo station and can walk to many famous places such as Big Ben London eye Hyde park Buckingham palace Britis Museum etc ,POSITIVE
 Everything,POSITIVE
 Bed was tremendous Place was spotless Cookies were tasty ,POSITIVE
 The bed was really comfortable Shower was amazing and the staff were so polite and friendly,POSITIVE
 Staff tried hard to help,NEGATIVE
 Apple television with internet access was a very nice touch Very clean,POSITIVE
 Noise from railway at rear of hotel,NEGATIVE
 Location near to tube and resturants,NEGATIVE
 I booked a junior suite and when I arrived they checked me in a basement room calling it a suite I requested the front desk to change rooms because this is not what I paid for She was helpful and arranged a better room in a property close to it Overall rooms are not worthy of the price I paid Staff is helpful ,NEGATIVE
 The reception staff were polite and efficient and being allocated an upgrade to a junior suite made my visit even better The reviews for the hotel and true and accurate an I will certainly us The Blakemore again ,POSITIVE
 The taxi service the hotel uses was very poor We booked him to take us to a show which we arrived 35 mins late for and not only that but we had to get our own navigation out on our phones to get him there after a 1 hour transport from the hotel Felt like the gentleman was deliberately driving wrong to get more money our of the journey wouldn t recommend this at all to anyone wishing to get a taxi into the city from here We called a black Cab on the next trip and got where we needed again centre of London for less than the hotel taxi Even the black taxi cabs on the way back cost cheaper to book This was the only upsetting part of this trip ,NEGATIVE
 Hotel was very nice and in a great location ,POSITIVE
 Everything was so modern and clean I ve never experienced such a good night sleep at a hotel before the bed and pillows where ultra comfy Loved it ,POSITIVE
 The room was very warm when we first went in but left the air con on for a while and it was great ,POSITIVE
 Breakfast was expensive so I never booked it ,NEGATIVE
 Lovely large room with the bonus of a kitchenette Shower was powerful and the toiletries were great quality ,POSITIVE
 Everything was excellent Staff was nice as always pool room and breakfast was great ,POSITIVE
 Modernes Hotel in interessanter Umgebung,POSITIVE
 Pillows hard and lumpy and hotel bar dull ,NEGATIVE
 Didn t have breakfast in the hotel so don t know the quality If you take a short walk in the neighbourhood you ll find some local breakfast shops which is a bit cheaper if you only want coffee and a small chocolate bread roll or something like that ,NEGATIVE
 Bed very uncomfortable ELVATORS broke down and was not allowed use stairs even though on 1st floor woke up every morning between 7 and 8 30 to clean roon when I had do not disturb sign on door day I was leaving checkout was at 12 staff knocked 3 times from 7 that morning it s over priced no free WiFi no bottles of water in the room these are all extra u have to pay for,NEGATIVE
 The stay was great,POSITIVE
 You can t beat the location,NEGATIVE
 Easy access for hyde park an very comfortable rooms,POSITIVE
 The water in bathrom not stronge for shower and some time smil,NEGATIVE
 Staff very friendly good location right beside Hyde park and one minute walk from Queensway tube station on the central line very clean rooms just a bit small ,POSITIVE
 Nothing to sat,NEGATIVE
 Lovely looking hotel just a stones throw away from Hyde Park and Queensway tube station Friendly staff excellent breakfast Staff tried hardest to rectify issues see below ,POSITIVE
 Nothing of note,NEGATIVE
 Excellent location close to underground restaurants and caf s Nice breakfast,POSITIVE
 Convenient close to tube station Very clean iMac in the room was a good surprise,POSITIVE
 I was surprised when I entered this fancy grand hotel as I didn t expect this for the price It seemed really posh Later I saw the room and I think it s a luxurious hotel that lost a bit of value as it aged But still really comfortable ,NEGATIVE
 The location was brilliant Right in the middle of the West End close to Covent Garden Theatreland and the Thames Very comfortable hotel,POSITIVE
 The room was too hot there is no air circulation it was one of the hottest days in London I should have asked for a fan No air conditioning ,NEGATIVE
 House keeping waking you up at 9 am Ridiculous,NEGATIVE
 The pool area was very nice ,POSITIVE
 Comfy bed,POSITIVE
 No negatives,POSITIVE
 Nice big balcony and good views with free ferry ride across the river Nice bar,POSITIVE
 We were the customer of the day so our room was upgraded and we received a free breakfast in the club suite The room was good and the bed comfy and as we were on the 12th floor we had a good view of the London skyline ,POSITIVE
 location,POSITIVE
 Location and rooms was excellent,POSITIVE
 Reception Staff did not always understand what I was asking,NEGATIVE
 Hotel ,POSITIVE
 Feel very comfortable,POSITIVE
 very modern very clean most comfortable bed you could sleep on it felt like royalty has every you need for a romantic or quiet getaway special thank you to antoneuta and Deborah on check out the staff were so professional kind and made sure everything we needed was done for our stay highly recommended and will be returning too,POSITIVE
 Good location,POSITIVE
 Wait for lift could be a bit long,NEGATIVE
 Can t think of anything ,NEGATIVE
 Given the size of the hotel number of rooms check in was swift and our room available by 11am ,POSITIVE
 no channel guide on tv,NEGATIVE
 The toilets are without any latch doors are of glass bit uncomfortable with family the rooms are smaller then what they project and breakfast is basic and too crowded at times,NEGATIVE
 Price without breakfast expensive ,NEGATIVE
 Room was small considering it was a double ,NEGATIVE
 Hotel appeared nice from outside ,POSITIVE
 Room was too hot 27 5 They sent a man up to open the window for us because they said that the air con could not be altered Also sent up a fan but this did not work Noisy in am with builders outside and window open Tea and coffee were cold for breakfast Better to make fresh for people ,NEGATIVE
 The WiFi was very poor in our room The lifts are very small and were quite the challenge with our baby buggy ,NEGATIVE
 Girl at reception was lovely room service too Others couldn t care less hotel needs updated have stayed in nicer Travelodges for half the price,NEGATIVE
 Pleasant and helpful staff Very comfortable bed and quiet location Excellent buffet breakfast ,POSITIVE
 It was a beautiful hotel in a wonderful location The staff was extremely helpful throughout our stay ,POSITIVE
 Took a little time to heat up the room,NEGATIVE
 Nice building and view nice food enjoyed my night,POSITIVE
 The location is great we are close to key places like Covent Garden Trafalgar Square Leicester Square and etc ,POSITIVE
 Location Car Parking was good,POSITIVE
 The room was very small no lift access to my particular room ,NEGATIVE
 Very comfy beds ,POSITIVE
 Room seemed a bit basic for the cost ,NEGATIVE
 Staff kept coming to room in morning looking to clean Same girl came twice within half an hour second time telling me room was vacant on system ,NEGATIVE
 Loud Very hard beds No shampoo Metro line was a suburban commuter line meaning it was often 30 mins between trains Getting the Trenord app is a must ,NEGATIVE
 Location,POSITIVE
 The reception area and pub restaurant were excellent The staff were excellent and location was excellent,POSITIVE
 The room was very warm Air conditioning would be appreciated,POSITIVE
 Check in is always incredibly slow and the staff can be frustrating This hotel is quite faded and a little out of context in this shiny new area I always ask for a smaller double bed as in the larger rooms it is twin beds joined together which I find really uncomfortable My last visit meant changing rooms three times It was annoying to be moved to a room with exactly the same issue and to take over 30 minutes to get into a room I ve also lost clothing there and despite e mails and me going there it was never recovered which is very poor The air conditioning doesn t work well in some rooms and the DLR sounds can be very noisy at night ,NEGATIVE
 nothing,NEGATIVE
 Great location near the tower Bar on 12th floor has a nice view ,POSITIVE
 Bed was not as comfortable as expected ,NEGATIVE
 room was excellent,POSITIVE
 Location,POSITIVE
 The staff were superb,POSITIVE
 Room got very hot in the night Air con noisy ,NEGATIVE
 Air quality in the room difficult to open the window ,NEGATIVE
 The hotel was brilliant really enjoy it all ,POSITIVE
 The foyer was very beautiful and the staff that checked us in were pleasant ,POSITIVE
 Can t think of anything ,NEGATIVE
 The first room was unacceptably dirty and shabby Was moved to another room which was slightly better This is not a four star hotel and overpriced for a 2 star Another customer complained that he found dirty cups etc in his room ,NEGATIVE
 How well David the duty manager handled a a problem I experienced at the hotel ,NEGATIVE
 Unfortunately the cooked breakfast and pot of tea were cold Also the dining area on the mezzanine lacked heat A replacement hot pot of tea was brought Apart from this blip we found the hotel excellent and would probably consider staying there again on a future visit to London ,NEGATIVE
 Great experience very nice hotel far from Milan but the train is next to the hotel and if you have a car it s not a problem,POSITIVE
 Day 1 I noticed that the hotel didnt actually offer shampoo asked the front desk and they were not very useful as i guess the hotel just doeant have any My rooms safe was also broken from day 1 Day 2 I had noticed a few things dodnt get cleaned at all in the room Day 3 On my third night I went to sleep early for my early train out of town and ended up waking up to some sort of dance party in the room next door at 1AM I called the front desk around 1 05 and then 15 minutes later someone knocked on the door and the party moved down the hall Only far enough to quiet down for me to go to sleep I could still hear them from down the hall but was beyond my concern at that point Upon checkout the hotel staff asked about my stay and were apathetuc to my complaints ,NEGATIVE
 Rooms were tiny but very nice lovely staff,POSITIVE
 Size of room Spacious Lovely breakfast spread,POSITIVE
 Didn t live up to photos,NEGATIVE
 Gary from concierge was extremely rude He is the reason I will not be returning to the hotel ,NEGATIVE
 Didn t particularly like paying 25 for one glass of wine and a whisky and coke ,NEGATIVE
 The hotel was exceptionally clean and felt very modern and inviting The reception area is lovely The breakfast was absolutely delicious and the service was impeccable from the moment we arrived Warm cookies on check in was a lovely touch as well ,POSITIVE
 Nothing ,NEGATIVE
 I know I booked a budget room but I didn t realize rooms without windows even existed anymore but that s what I got Nor did it have air conditioning Just a fan The daytime temperatures were about 30 degrees so I had two uncomfortable nights Had I known all this in advance I probably would have paid more for something better or an Airbnb I actually dreamed about being on holiday in North Korea It was that good My other gripe was the length of time it took to get a beer Short queues at the bar took forever to get to the front of mainly because people were buying huge rounds of drinks The bar girl did her best but the odds were stacked against her More bar staff might be an idea Plenty of people without my determination and unquenchable thirst gave up and I don t blame them My third and final gripe is the external camouflage of the hotel which is labelled the P Hotel outside with no obvious clue as to its claimed name of Britannia International For a non London dweller like me simple things like this matter quite a lot when I am hot and tired and lost ,NEGATIVE
 Having to pay extra for use of pool guests should swim free Room view was of generator ,NEGATIVE
 The staff were very helpful and nothing was too much trouble for them,POSITIVE
 the location is good and the building is very new room is very clean when i first arrive In room dinning service i really like and the waitress are very polite ,POSITIVE
 Hotel was lovely Staff was lovely Location was a bit far from where we wanted to go but that s my fault for not looking at the postcode properly but it s easy to get around The beds are soooo comfy Recommend the queen size and the cookies are lush too ,POSITIVE
 Excellent location Very helpful staff excellent choice will return there for sure ,POSITIVE
 the bed Mattress needs replacing Very uncomfortable Bathroom crampt,NEGATIVE
 The hotel is tired and dated Needs to be pulled down,NEGATIVE
 Exorbitant prices in the skyline bar Some staff members in the kitchen restaurant were very rude ,NEGATIVE
 Nothing ,NEGATIVE
 No windows that opened for fresh air,NEGATIVE
 The rooms were lovely and the beds were incredibly comfy Plenty of people complained about the hotel being dated but it was spot on very clean with good facilities Staff were very helpful The location was excellent being a 5 minute walk from Kensington high street and the tube station Can t recommend it enough ,POSITIVE
 Generally speaking everything was fine clean and working well,POSITIVE
 Your breakfast buffe was excellent and had every and more to offer Liked your SkyLounge as well,POSITIVE
 Nice clean comfortable room excellent location to theatres,POSITIVE
 Friendliness of the staff Modern stylish interior d cor views of Big Ben etc Hop on bus stop just across the road Good breakfast Lovely bathroom ,POSITIVE
 Convenience to my destination ,POSITIVE
 Metro station is around 25 min walk ,POSITIVE
 Everything was perfect there wasn t anything to not like ,POSITIVE
 Would have been better if you didn t have to pay 7 for wifi per device per room that is far too expensive,NEGATIVE
 As it is my first day in UK I do not have mobile network here the handy phone was a great help ,POSITIVE
 Occasionally noise,POSITIVE
 Totally delightful Wonderful stay Would do so again,POSITIVE
 Towels Smelt of curry room little bit dirty like leftover plastic knife and fork on the floor,NEGATIVE
 The Wifi was unstable for a couple of days I wouldn t know if this is a regular occurrence ,NEGATIVE
 Very spacious hotel with good facilities staff were excellent would definitely use again ,POSITIVE
 The convenient location to the tube station the friendly staff and full delicious breakfast all inclusive ,POSITIVE
 Great location walk to the underground Good food close by Grocery store around the corner Quite for sleeping ,POSITIVE
 Good staff,POSITIVE
 Reception was very busy at check out so extra staff at this time would have been useful Other guests were also commenting on this aspect However vouchers for free coffee or Prosecco in the hotel made up for this I would stay again ,NEGATIVE
 Very good breakfast Very comfortable bed ,POSITIVE
 The staff were friendly and very helpful hotel perfect location and very comfortable good breakfast excellent room service,POSITIVE
 The rooms were Okay Just like in the picture Bit dark in decor My son remarked no toothpaste no hairdryer and I was disappointed to find no tea or coffee in the rooms just bottled water Maybe that was because we had the lowest priced room ,NEGATIVE
 My stay at this hotel was a nightmare I checked in at 9 00 PM and was taken to a room in which there was hair on the duvet sheets and pillows on each of the two single beds I politely complained to the staff at the front desk and was taken to another room Unfortunately there was hair all over that bed as well I then complained once more and was given a so called suite in the annex across the street This room was dingy and there was a lot of noise coming from an adjacent room but the sheets were at least clean and I was able to fall asleep with ear plugs ,NEGATIVE
 Location was great,POSITIVE
 Small thing but bed and duvet really noisey Spring noises and very russely ,POSITIVE
 All good ,POSITIVE
 the price,POSITIVE
 Great hotel great staff great facilities Wonderful experience ,POSITIVE
 food in the resturant,POSITIVE
 Many upsetting events that made this hotel stay a nightmare My fiancee and I booked several rooms for us and our family as we were holding our wedding in London I do not recommend you to stay there 1 Very unprofessional welcome Porter stood there watching us as we exited our taxi with tons of luggage without any offer from help from any of the staff from arrival till we reached the lobby 2 We entered our room to discover it barely had any window This was made more horrendous as we told the lobbyist we were staying at the hotel as we were getting married in London that weekend The person at the lobby didn t even care The only thing we could do is pay an extra 90GBP per night to get a decent room with decent lighting 3 Our room was supposed to be cancellable modifiable up to 24h in advance We had tried to modify our booking a week before arriving as we had to shorten our stay from 4 nights to 3 nights Instead of cancelling one night for free as they advertised the online booking wouldn t cancel one night under the excuse that there is no space available which makes no sense since I was just cancelling a night under the booking that I HAD They made us rebook the entire stay so 3 nights at a much higher price around 40 more expensive Multiply that by 4 4 rooms and the bill goes up significantly 4 The cleaner came in while we were in the room and instead of properly cleaning changing the drinking glasses in the room she just wiped them with a cloth with no washing God knows how many people have had a drink from that glass There was also hair in almost every towel in the bathroom 5 The hotel mistakenly cancelled the room of a family member and we had to waste 30 min for them to find the booking again CONCLUSION DO NOT STAY THERE IT S OVERPRICED and the level of service is worthy of a 2 star hotel on top of the rip off with the booking modification ,NEGATIVE
 That the breakfast option was not to be had on line unfortunately if I needed to be in the area again despite being my first choice I would have no choice but to look elsewhere ,NEGATIVE
 Everything was perfect the rooms were great,POSITIVE
 Cosy pillows,NEGATIVE
 The price was cheaper compared to other hotels around canary wharf,POSITIVE
 Cheap toiletries and very thin cheap toilet paper in the en suite bathroom gave a poor impression ,NEGATIVE
 My room was near the train rail so there was a lot of noise while trying to sleep or at the mornings ,NEGATIVE
 My room was 202 it had no windows and was very noisy There was a signal sound all night that prevented me from getting a good night sleep,NEGATIVE
 Pillows extremely uncomfortable,NEGATIVE
 Far away rooms location,NEGATIVE
 Small room,POSITIVE
 Location excellent,POSITIVE
 My room had a leak in I paid over 500 for a room that leaked the got put into another room with a really unpleasant over and not clearing some guest before me had water in a glass and that was it cleaned and the television didn t work I did email the hotel but obviously I have had no response I feel because I m a younger client I was brushed aside and it taken seriously ,NEGATIVE
 Single bed was quite narrow and the room has seen its best days chips and detrition here and there Noisy AC ,NEGATIVE
 Staff were very friendly and helpful Room was immaculately clean Shower was amazing Choice of 2 shower heads a power shower or rain shower Really nicely decorated rooms and perfect for our needs Great hotel and would highly recommend,POSITIVE
 Location was very good staff very friendly,POSITIVE
 Nothing ,NEGATIVE
 I loved everything in this hotel the room was amazing the beds were really comfortable it was everything I imagined and more ,POSITIVE
 Bed was comfortable Breakfast very nice staff very helpful,POSITIVE
 Great location clean excellent breakfast,POSITIVE
 Location was great Staff very friendly Clean and a big room,POSITIVE
 old furniture,NEGATIVE
 Good location comfortable rooms and very good staff ,POSITIVE
 No free wifi,NEGATIVE
 Near where needed to go ,NEGATIVE
 Comfortable bed and great breakfast,POSITIVE
 Liked everything,POSITIVE
 Spa wasn t completely open ,NEGATIVE
 bed very comfy room clean great shower fantastic location ,POSITIVE
 Proximity to city centre,POSITIVE
 Great place Perfect location Staff very helpful Concierge was especially helpful Solved many tourist enquiries Would definitely stay here again Great,POSITIVE
 Staff are fantastic as is the location,POSITIVE
 The bed,POSITIVE
 The style of the room ,POSITIVE
 Lack of complimentary wi fi It is expected nowdays,NEGATIVE
 alot of mosquito,NEGATIVE
 Delux double was great Loved the spa View from sky bar was nice Love the use of modern technology The hotel is very clean Fab location ,POSITIVE
 Nothing ,NEGATIVE
 Great location Very welcoming staff Excellent service Nice rooms,POSITIVE
 The staff were extremely accommodating Overall the stay in the hotel was amazing ,POSITIVE
 Breakfast in bed with no extra charge ,NEGATIVE
 cleanliness staff,POSITIVE
 The reception staff were excellent let us check in early and upgrade for no additional cost Overall brilliantly clean and good location for what we wanted ,POSITIVE
 Nothing,NEGATIVE
 no window in the room,NEGATIVE
 The meal I had in the restaurant was excellent however the bar snack was just about ample,POSITIVE
 Customer service was awful at check in nobody seemed to know what was going on Service was also bad in the bar took ages to get served several times We asked could we order food 3 times It was only when I got angry that they bothered to take an interest Food was nice when it eventually arrived ,NEGATIVE
 Nothing I can think off,NEGATIVE
 The bathtub was a bit hard to access there was no flexy pipe in the shower only a fixed shower head and the bathroom was not clean enough in our opinion ,NEGATIVE
 All in all excellent value extremely polite and helpful staff very welcoming very comfortable and clean and tidy 5 star stay ,POSITIVE
 The excellent service and a pathway being linked to the hotel if I could book again for the same price I will ,POSITIVE
 Location,POSITIVE
 That I requested a riverbank view and did not get one and the lack of pillows on the bed ,NEGATIVE
 All staff were very helpful and polite The bed was very comfortable The location is fantastic Hotel bar is really nice but expensive expect to pay premium London prices for drinks ,POSITIVE
 Bed exceptionally comfy perfect location and facilities and very helpful staff,POSITIVE
 The noise that we experienced of a night lost lots of sleep I will not be staying at this hotel again ,NEGATIVE
 Location excellent staff great pool for kids to use,POSITIVE
 Service and location both excellent Hotel was a beautiful building we did not eat at hotel but bar and dining room looked very inviting We had an issue with the room and it was not possible to resolve it in time but we were offered and accepted a complimentary taxi to our train station ,POSITIVE
 Some minor maintenance issues no teabags on hospitality tray and curtain not hanging correctly so letting light in from early morning Some public areas in need of TLC Bar prices steep 5 for a Diet Cole and a Soda water ,NEGATIVE
 Having a service charge added at the Starbucks in the lobby Walls were kinda thin could hear other guests and the doors slamming were quite loud ,NEGATIVE
 Good hotel in London Staff and facilities good Good value for money and location near to tube stations ad Hyde Park ,POSITIVE
 Room was good size and there was a Tesco close by,POSITIVE
 everything except the food layout for the conference ,POSITIVE
 The noise Didn t get a wink of sleep the noise from outside kept me up all night Shame because the bed was very comfy ,NEGATIVE
 Nothing ,NEGATIVE
 Room small for price,NEGATIVE
 Everything was great Patricia on reception couldn t do enough Also the gentleman trying to organise the breakfast sitting was excellent ,POSITIVE
 The location is unbeatable,NEGATIVE
 Comfort And style,POSITIVE
 Nothing can be done about this but it was very difficult dealing with non native English speaking housekeeping staff We didn t have facecloths in our room and when I first mentioned it to the Front Desk in the evening because the housekeeping staff had left the fellow who brought me over something brought me towels and said he didn t know where the facecloths were I attempted again the second day to get facecloths and eventually got them but after I got them every day when housekeeping was done they were never replenished for the 5 days of our stay even though everything else was Is it unusual to have facecloths along with bath and hand towels in London Also the letter about the club service needs to be updated The letter said we could get breakfast in the lounge until 11 00 a m but when I inquired at the Front Desk they said the lounge was only available from 6 9 p m Also coming from a scent free environment I found the product used on the carpet in our building very strong ,NEGATIVE
 tiny rooms,POSITIVE
 Nothing,NEGATIVE
 Can t think of a thing,NEGATIVE
 Great location and friendly staff,POSITIVE
 Warm welcome from all the staff A wide range on the breakfast buffet ,POSITIVE
 Location was excellent Quiet area but close to the centres Lovely walks in nearby Kensington Hyde Park Staff very helpful ,POSITIVE
 Location first impressions as you walk in the seating arrangements and furniture in bar area breakfasts Staff were extremely helpful Also located close to two tube lines these give easy access into central London Good for the price I paid however would not have been happy if I paid full price ,POSITIVE
 Breakfast wasn t always very hot however it was available at no extra charge to have it in our room which we did on our last day and it was very hot ,POSITIVE
 THE BEAUTIFUL BED,POSITIVE
 Location,POSITIVE
 Really good beds the staff was really nice Got great value for the hotel Room was excellent have nothing I didn t like ,POSITIVE
 Location perfect as not very far to walk to anywhere i e Theatreland Covent Garden London Eye and great for shopping We were given an upgrade from standard room to king size room Perfect for our weekend celebration We had a room over looking the Strand no issue with noise just normal level to us Entrance reception signage all easy to follow Gin Palace was very nice although a little cool in this room Restaurant for breakfast was excellent as was the choice of breakfast Staff extremely friendly and helpful Loved every minute of being in this hotel and would recommend it to friends and family ,POSITIVE
 Prices of fiod,NEGATIVE
 We LOVED the location It was also a very comfortable room close to everything to walk to and sight see ,POSITIVE
 Our room did not include a bathtub as per Booking confirmation There was no apology and when a new room was allocated it had not been cleaned properly Bathrobes were dirty including the replacement we received ,NEGATIVE
 Full breakfast especially delicious courosans and unforgettable morning cock crowing who ve been there they know what about I m talking ,POSITIVE
 The staffs are so kindly,POSITIVE
 They try to change my reservation to another Hotel ,NEGATIVE
 Staff efficiency comfortable room good facilities close to tube stations ,POSITIVE
 The staff were on hand 24 7 to help with travel directions using hotel facilities etc Location is perfect 2 minute walk from subway and in a really nice area Room was a little small but very clean,POSITIVE
 construction work next to the hotel meant lots of noise bed has seen better days springs were coming through the mattress parking is an absolute rip off,NEGATIVE
 THE BED COMFY THE LOCATION GOOD,POSITIVE
 The staff were really friendly and helpful Arrived earlier than check in time and a room was ready and able to leave luggage after check out so not lugging bags around London It was clean bright and a really nice hotel The room was large and the shower was great ,POSITIVE
 The desk staff could have explained the additional costs for twin beds more clearly ie we were quoted 25 this became 25 00 each person per night 100 ,NEGATIVE
 Location and size of room good breakfast nice and spa facilities good enjoyed my 2nights stay would recommend ,POSITIVE
 Strand is a good central London Location Staff very good,POSITIVE
 very good resturant close to london eye and big ben very comfort with smart tv,POSITIVE
 It was great couldn t fault it ,POSITIVE
 Staff was very friendly consierge gave us great tips Location is fantastic and I would choose this hotel again ,POSITIVE
 Our room 846 faced east towards Canary wharf good view but trains very noisy and a ill fitting window didn t help Air con noisy ,NEGATIVE
 Could find nothing I didnt like was truly impressed and pleased with the whole weekend experience,POSITIVE
 Bedding was excellent for me,POSITIVE
 The room was a little small but would have been ok for a overnight small case but I had come to London to pick up a large case the chair then became a issue,NEGATIVE
 Nothing I have found breakfast rather dull on other occasions so I only did Room only this time View was awful but I only used the room for sleeping ,NEGATIVE
 Ipreception slow at 5pm I had to leave at 6 15 am no breakfast available,NEGATIVE
 The amazing comfort cleanliness and technology,POSITIVE
 Location,POSITIVE
 Tv had less channels,NEGATIVE
 There was some mildew at the ceiling approx as large as my palm and the socket where the hairdryer was plugged in did not work either ,NEGATIVE
 The location Good value for money ,POSITIVE
 Value for money 319 for a room witch when I booked said included breakfast when getting there they said it did not then tried to charge 21 50 per person also the whole point we went was for the roof top bar for new year witch they closed the outside at 11 55 giving us no reason why and also meant they was far to many people in the bar you couldn t move or see anything out the windows with myself being pregnant I was very concerned as people where pushing and banging into me very disappointed,NEGATIVE
 Mostly good maybe drop price a small bit,POSITIVE
 Nothing,NEGATIVE
 Had to pay extra for swimming pool Slightly over priced,NEGATIVE
 Breakfast was awful only had bread hams egg all cold dishes only Preferred a warm breakfast but was told to add 8 or 12 to get a full English breakfast ,NEGATIVE
 Great location and value for money,POSITIVE
 One of the sockets by the bed wasn t working so had to use socket the otherside of the bedroom Table but no chairs could have done with two chairs to sit on and relax ,NEGATIVE
 Some problems getting staff to understand English ,NEGATIVE
 The pure fact that your in walking distance from a lot of the beautiful sites ,POSITIVE
 Great breakfast Great hosts,POSITIVE
 Good hotel ,POSITIVE
 Two abandoned buildings beside the hotel gives you creeps like in worst nightmare Chaos on breakfast difficulty to find clean table buffet with cold scrambled eggs and sausages served on regular plates instead of re heated ones,NEGATIVE
 Breakfast was poor ,NEGATIVE
 Complamentary apples,NEGATIVE
 Nothing to say,NEGATIVE
 I asked for a quiet room and I only heard one siren but the outlook over the dumpsters wasn t spectacular It was a surprise to receive half a bottle of wine don t like Merlot so my friend enjoyed it but the thought was nice ,POSITIVE
 Restaurant was good value for money breakfast was great,POSITIVE
 When I check out they told me I have to pay the telephone bill of 45 that I didn t use but claimed me by useing during 03 30 I was sleeping and it was innocence At last they didn t ask me to pay after 10 mins to verify ,NEGATIVE
 The location of the hotel was brilliant and the boat was amazing hotel was extremely clean and the staff where very helpful Lovely to sit outside at night and watch the Thames Lots of choice at breakfast,POSITIVE
 Overly expensive drinks always given highest cost drinks without being alternatives and paying a service charge when i went to the bar staff poured a drink ,NEGATIVE
 Prices too high for room service and mini bar Wifi non existent ,NEGATIVE
 Rather a small room not nearly so big as that shown on the booking com pics,NEGATIVE
 Cost for car parking Long wait at reception when checking in ,NEGATIVE
 Had to use the fan as opening the window due to location was far too noisy,NEGATIVE
 The Internet connection is slow and patchy ,NEGATIVE
 comfortable beds enough dining space,POSITIVE
 The staff were lovely Breakfast menu was plentiful The whole hotel was very nicely decorated and our room was spotlessly clean ,POSITIVE
 Paint peeling off the bathroom ceiling room door didn t close properly hotel in the middle Of nowhere horrible breakfast,NEGATIVE
 Location is great near the heart of Shoreditch and the Old Street Underground station to get around central London The facilities were incredibly modern and updated with a great room size ,POSITIVE
 Staff very friendly,POSITIVE
 Very friendly staff and really good restaurant with excellent service The food was excellent as well ,POSITIVE
 The spa was excellent the staff were very helpful,POSITIVE
 The room was so small it was impossible for two grown adults to move around in comfortably It was more suited to a single room and bed Very uncomfortable and almost claustrophobic We were with friends and almost impossible to all squeeze in to share a drink following our night out We managed in the morning with one staying in bed until the other had finished washing and dressing we felt that it was very overcharged for the size of room On checking out I told the Receptionist how we felt and was horrified to see she was laughing I told her that I did not find it funny and if the guest was making a complaint the least she could do was acknowledge it Disgusted I said I would not recommend or stay here again ,NEGATIVE
 Hairs in the bed knocking outside in the middle of the night upgraded to the executive suite and was tiny even for London,POSITIVE
 Friendly cleaners helped us to find out way when the confusing signs couldn t help us ,NEGATIVE
 Children made to feel welcome,POSITIVE
 Could not work the lighting It was all lights on or off ,NEGATIVE
 Bed and rainfall shower ,POSITIVE
 It was a perfect location for our visit to Wembley Stadium The room was very good and spacious and the 3rd floor bar was excellent ,POSITIVE
 Everything was excellent,POSITIVE
 Staff were very good friendly and polite Meals were very nice Loved the decor of the hotel ,POSITIVE
 Several key points to improve 1 Noise of cleaning people during the early part of the day 2 cleanness of rooms and replenishment of supplies are poor 3 Room allocation is not suitable and very little room for flexibility despite prior arrangement and promises by front desk staff 4 Staff can be more friendly and caring listen to the customer 5 Gym equipment needs attention to avoid injures liability issue 6 TV has limited channels 7 Rooms near corridors suffer from the noise of the double swing doors 8 Bathrooms can use some uplift and maintenance 9 No view was on the 7th floor and was upgraded to the 2nd floor with back side roof view ,NEGATIVE
 Front desk manager on high level as well as two of young Staff Transport to airport well organized ,POSITIVE
 Rooms very dark and outdated ,NEGATIVE
 Quite expensive for what you get Tiny room smaller than the cruise cabin we just finished The entire room tilted yes tilted ,NEGATIVE
 Staff where lovely and friendly room lovely apart from the pull out bed was right in front of the door so a bit awkward to get around I ened up folding it away Excellent location for family s going to attractions,POSITIVE
 The hotel was immaculate and so were the rooms,POSITIVE
 The iconic view of Westminster can not be seen from the majority of the rooms This was not made clear when booking Instead they try and sell you the view for GBP50 per night or so upon arrival A bit shoddy I felt ,NEGATIVE
 Bed is fine,POSITIVE
 its a 20 mins ride into town with the subway Very convenient Great value for money as the hotel is quiet when there is no major event in the O2 The rooms are clean and the beds comfortable with large windows to enjoy the view ,POSITIVE
 Staff decorated our room prior to arrival as a surprise for my other half on our anniversary they also supplied us with a bottle of champagne Excellent service highly recommended ,POSITIVE
 Wi Fi should really be free of charge,NEGATIVE
 Elevator You need to wait 5 10 Min its too long,NEGATIVE
 The fact that wifi is not complementary Also I asked if I could check out 1 hour later and they asked for extra 10 GBP Short sighted when they see me in their hotel every other week,NEGATIVE
 Asked for a city view room got one the opposite way facing builders who began working very early in the morning Parking for 2 x night was 24 pound which was ridiculous and the shutter was always open No wifi Overall not a nice experience for mine and my partners 1st anniversary ,NEGATIVE
